Tiempo (s),Temperatura (°C),Estado Servo
72.94,28.00,Cerrado
73.15,28.00,Cerrado
73.34,28.00,Cerrado
73.55,27.25,Cerrado
73.76,28.00,Cerrado
73.95,28.00,Cerrado
74.18,28.25,Cerrado
74.38,27.75,Cerrado
74.59,27.75,Cerrado
74.80,27.75,Cerrado
75.01,27.75,Cerrado
75.20,27.75,Cerrado
75.41,28.75,Cerrado
75.60,27.75,Cerrado
75.81,28.50,Cerrado
76.01,28.50,Cerrado
76.22,28.50,Cerrado
76.41,28.00,Cerrado
76.62,28.75,Cerrado
76.83,28.50,Cerrado
77.02,28.50,Cerrado
77.23,28.25,Cerrado
77.44,28.50,Cerrado
77.63,28.75,Cerrado
77.84,28.50,Cerrado
78.05,28.50,Cerrado
78.24,28.75,Cerrado
78.45,28.75,Cerrado
78.65,28.50,Cerrado
78.84,29.00,Cerrado
79.05,28.50,Cerrado
79.26,29.00,Cerrado
79.47,28.75,Cerrado
79.68,29.00,Cerrado
79.87,29.00,Cerrado
80.08,29.25,Cerrado
80.28,29.25,Cerrado
80.49,29.50,Cerrado
80.68,29.25,Cerrado
80.89,29.00,Cerrado
81.10,29.50,Cerrado
81.29,29.25,Cerrado
81.50,29.25,Cerrado
81.71,29.25,Cerrado
81.92,29.50,Cerrado
82.11,29.25,Cerrado
82.32,29.50,Cerrado
82.52,29.25,Cerrado
82.72,29.25,Cerrado
82.92,29.25,Cerrado
83.11,29.75,Cerrado
83.32,29.75,Cerrado
83.53,29.25,Cerrado
83.74,29.00,Cerrado
83.93,29.50,Cerrado
84.14,29.50,Cerrado
84.33,29.75,Cerrado
84.54,30.00,Cerrado
84.75,29.75,Cerrado
84.95,30.00,Cerrado
85.15,29.75,Cerrado
85.35,29.75,Cerrado
85.55,30.00,Cerrado
85.75,29.75,Cerrado
85.96,30.00,Cerrado
86.17,30.00,Cerrado
86.36,30.25,Cerrado
86.57,30.00,Cerrado
86.78,30.25,Cerrado
86.98,30.25,Cerrado
87.18,30.50,Cerrado
87.39,30.50,Cerrado
87.59,30.25,Cerrado
87.80,30.50,Cerrado
88.01,30.25,Cerrado
88.20,30.50,Cerrado
88.41,30.50,Cerrado
88.60,30.50,Cerrado
88.81,30.00,Cerrado
89.02,30.50,Cerrado
89.21,30.75,Cerrado
89.42,30.50,Cerrado
89.62,30.00,Cerrado
89.83,30.25,Cerrado
90.02,30.50,Cerrado
90.23,30.50,Cerrado
90.44,31.25,Cerrado
90.63,30.75,Cerrado
90.84,31.00,Cerrado
91.03,31.00,Cerrado
91.24,30.75,Cerrado
91.45,31.00,Cerrado
91.66,31.00,Cerrado
91.85,31.25,Cerrado
92.05,31.25,Cerrado
92.26,30.50,Cerrado
92.47,31.00,Cerrado
92.66,30.75,Cerrado
92.87,31.25,Cerrado
93.08,30.50,Cerrado
93.27,31.25,Cerrado
93.48,31.00,Cerrado
93.69,31.00,Cerrado
93.89,31.00,Cerrado
94.09,31.50,Cerrado
94.29,31.50,Cerrado
94.50,31.25,Cerrado
94.69,31.50,Cerrado
94.90,31.75,Cerrado
95.09,31.25,Cerrado
95.30,31.50,Cerrado
95.51,31.00,Cerrado
95.72,31.75,Cerrado
95.91,31.75,Cerrado
96.12,31.50,Cerrado
96.32,31.50,Cerrado
96.52,31.75,Cerrado
96.72,32.00,Cerrado
96.93,31.50,Cerrado
97.14,31.75,Cerrado
97.36,32.00,Cerrado
97.57,32.00,Cerrado
97.76,31.75,Cerrado
97.97,31.75,Cerrado
98.18,32.00,Cerrado
98.37,32.00,Cerrado
98.60,32.00,Cerrado
98.80,32.00,Cerrado
99.01,32.00,Cerrado
99.22,32.25,Cerrado
99.43,32.25,Cerrado
99.65,32.50,Cerrado
99.84,32.50,Cerrado
100.05,32.25,Cerrado
100.24,32.50,Cerrado
100.45,32.50,Cerrado
100.66,32.50,Cerrado
100.87,32.25,Cerrado
101.06,31.75,Cerrado
101.25,32.50,Cerrado
101.46,32.50,Cerrado
101.67,32.75,Cerrado
101.87,32.25,Cerrado
102.07,33.00,Cerrado
102.27,32.75,Cerrado
102.48,32.75,Cerrado
102.69,32.75,Cerrado
102.90,32.75,Cerrado
103.09,33.25,Cerrado
103.30,33.00,Cerrado
103.51,33.00,Cerrado
103.70,33.00,Cerrado
103.91,33.00,Cerrado
104.11,33.25,Cerrado
104.32,33.25,Cerrado
104.51,33.25,Cerrado
104.72,33.25,Cerrado
104.93,32.75,Cerrado
105.12,33.25,Cerrado
105.33,33.25,Cerrado
105.52,33.25,Cerrado
105.73,33.25,Cerrado
105.92,33.00,Cerrado
106.13,33.75,Cerrado
106.34,33.50,Cerrado
106.54,33.50,Cerrado
106.75,33.75,Cerrado
106.94,33.25,Cerrado
107.15,33.75,Cerrado
107.36,33.75,Cerrado
107.57,34.00,Cerrado
107.76,33.75,Cerrado
107.97,33.50,Cerrado
108.18,34.00,Cerrado
108.37,33.25,Cerrado
108.57,34.00,Cerrado
108.78,33.75,Cerrado
